Frequenza (Hz),V in,V out,V in / V out,Delta Picchi (micro s),V out / V in
100,104,61.6,1.6883116883,2300,0.5923076923
500,102,330,0.3090909091,390,3.2352941176
1000,95,570,0.1666666667,125,6
2500,89,770,0.1155844156,0,8.6516853933
4000,91,710,0.1281690141,22,7.8021978022
5000,93,650,0.1430769231,24,6.9892473118
7000,97,510,0.1901960784,21,5.2577319588
9000,99,420,0.2357142857,19,4.2424242424
10000,98,380,0.2578947368,18,3.8775510204
25000,101,152,0.6644736842,9,1.504950495
200,103,139,,,1.3495145631
350,102,236,,,2.3137254902
600,101,388,,,3.8415841584
1150,95,610,,,6.4210526316
1400,93,670,,,7.2043010753
1800,91,735,,,8.0769230769
2000,91,750,,,8.2417582418
