,,,,,,,,,,,,,,
,Misura elettromagnetica di c,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Capacità: ,R_est (cm),R_int (cm),lunghezza,spessore piastre,,,,,,,,,
,,5.89,3.546,40 cm,Int = 3.1 mm,,,,,,,,,
,,2.945,1.773,40 cm,Est = 2.1 mm,,,,,,,,,
,,,,,,,,,,,,,,
,Minimo del potenziale: ω = 660-680 kHz,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Raccogliamo valori nell'intorno del minimo:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, ω (kHz),Vout/2,Errore Vout,,,,,,,,,,,
,500,8.2,0.4,,,,,,,,,,,
,550,7,0.4,,,,,,,,,,660,1.04
,575,6,0.4,,,,,,,,,,665,0.8
,600,4.8,0.16,,,,,,,,,,670,0.6
,625,3.6,0.16,,,,,,,,,,675,0.5
,650,2,0.16,,,,,,,,,,680,0.6
,660,1.04,0.08,,,,,,,,,,685,0.76
,665,0.8,0.08,,,,,,,,,,690,1.04
,670,0.6,0.08,,,,,,,,,,,
,675,0.5,0.08,,,,,,,,,,,
,680,0.6,0.08,,,,,,,,,,,
,685,0.76,0.08,,,,,,,,,,,
,690,1.04,0.08,,,,,,,,,,,
,700,1.6,0.08,,,,,,,,,,,
,725,2.96,0.16,,,,,,,,,,,
,750,4.08,0.16,,,,,,,,,,,
,800,6.08,0.4,,,,,,,,,,,
,850,7.6,0.4,,,,,,,,,,,
,900,8.4,0.4,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Dal fit otteniamo i parametri a,b,c della parabola. -> x=-b/(2a)",,,,,,,,,,,,,
,a,b,c,  risonanza,,,,,,,,,,
,0.00228571,-3.08629,1042.35,675.1272033635,,,,,,,,,,
,,,,,,,,,,,,,,
,Circuito RL -corrente impulsata,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,  τ= 500 ns ,V_L = 7 V,V_0 = 19.2 V,,Nota: calcoliamo algebricamente i valori di V e V_0 per cui t = τ. Inseriamo tali valori ,,,,,,,,,
,,,,,"e misuriamo i tempo di scarica (leggiamo i numero di quadrati nel quadrante, ogni ",,,,,,,,,
,,,,,"quadrato vale 100 ns -> 500 ns, da cui τ).",,,,,,,,,
,,,,,,,,,,,,,,
,L_geometrico  ,0.000293,,,Nota: Capacità parassite -> calcoliamo un solenoide equivalente (tale per cui i parametri,,,,,,,,,
,L_misurato,0.000325,,,geometrici restituiscano il valore di L misurato sperimentalmente),,,,,,,,,
,,,,,,,,,,,,,,
, N_eq = 339 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Mu_0 ,1.25675 * 10^(-6),<- ovvio! :(,,,,,,,,,,,
,,,,,,,,,,,,,,
,Circuito RC-corrente impulsata,,,,,,,,,,,,,
,tau= 150ns,V_C = 7.50,V_0 = 20.4,,"Nota: risoluzione tempo sempre 100ns, stimo +-50 ns",,,,,,,,,
,,,,,,,,,,,,,,
,Dipendenza tau dalla lunghezza del cilindro,,,,,,,,,,,,,
,L,tau( ns),,,,,,,,,,,,
,0,150,,,,,,,,,,,,
,17cm,100,,,,,,,,,,,,
,,,,,,,,,,,,,,
,RLC corrente alternata : misura della variazione della frequenza di risonanza in funzione della lunghezza del condensatore,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lunghezza = 38 cm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, ω (kHz),Vout/2,Errore Vout * 2,,,,,lunghezza (cm),freuquenza rison.,w=2pi f,w*w,1/w*w,w fit,
,600,4.72,0.16,,,,,40,675,4239,2861325,3.49488436301364E-007,675.127,
,610,4.48,,,,,,38,686,4308.08,2955342.88,3.38370213069828E-007,685,
,620,3.92,,,,,,34,715,4490.2,3210493,3.11478642065253E-007,,
,630,3.52,,,,,,32,730,4584.4,3346612,2.98809661831129E-007,,
,640,2.96,,,,,,28,765,4804.2,3675213,2.72093073245006E-007,,
,650,2.32,,,,,,,,,,,,
,655,1.96,0.08,,,,,,,,,,,
,660,1.64,,,,,,,,,,,,
,665,1.32,,,,,,,,,,,,
